time,fog_id,vehicle_number
1,1,5
1,2,6
1,3,7
1,4,16
1,5,9
1,6,17
1,7,11
1,8,14
1,9,11
11,1,27
11,2,23
11,3,28
11,4,85
11,5,69
11,6,79
11,7,49
11,8,68
11,9,44
21,1,28
21,2,22
21,3,32
21,4,91
21,5,72
21,6,78
21,7,53
21,8,75
21,9,41
31,1,30
31,2,21
31,3,35
31,4,94
31,5,80
31,6,81
31,7,60
31,8,80
31,9,41
41,1,30
41,2,19
41,3,40
41,4,93
41,5,86
41,6,83
41,7,67
41,8,85
41,9,41
51,1,31
51,2,23
51,3,40
51,4,93
51,5,85
51,6,93
51,7,72
51,8,85
51,9,41
61,1,33
61,2,23
61,3,38
61,4,93
61,5,88
61,6,89
61,7,74
61,8,79
61,9,41
71,1,34
71,2,23
71,3,36
71,4,99
71,5,84
71,6,90
71,7,73
71,8,83
71,9,43
81,1,35
81,2,23
81,3,34
81,4,95
81,5,87
81,6,93
81,7,76
81,8,89
81,9,48
91,1,37
91,2,24
91,3,37
91,4,98
91,5,83
91,6,93
91,7,78
91,8,90
91,9,52
101,1,36
101,2,23
101,3,37
101,4,102
101,5,88
101,6,92
101,7,79
101,8,88
101,9,54
111,1,35
111,2,23
111,3,38
111,4,105
111,5,88
111,6,96
111,7,78
111,8,90
111,9,52
121,1,35
121,2,27
121,3,38
121,4,101
121,5,89
121,6,98
121,7,77
121,8,92
121,9,53
131,1,37
131,2,27
131,3,38
131,4,96
131,5,91
131,6,96
131,7,76
131,8,91
131,9,49
141,1,36
141,2,27
141,3,42
141,4,99
141,5,98
141,6,95
141,7,74
141,8,87
141,9,53
151,1,34
151,2,28
151,3,44
151,4,95
151,5,95
151,6,97
151,7,71
151,8,84
151,9,57
161,1,33
161,2,21
161,3,47
161,4,96
161,5,100
161,6,94
161,7,69
161,8,81
161,9,55
171,1,38
171,2,21
171,3,45
171,4,94
171,5,99
171,6,95
171,7,69
171,8,84
171,9,60
181,1,39
181,2,22
181,3,43
181,4,99
181,5,99
181,6,94
181,7,67
181,8,87
181,9,60
191,1,42
191,2,24
191,3,41
191,4,99
191,5,101
191,6,90
191,7,70
191,8,84
191,9,64
201,1,40
201,2,26
201,3,40
201,4,97
201,5,96
201,6,91
201,7,68
201,8,88
201,9,60
211,1,37
211,2,24
211,3,35
211,4,100
211,5,94
211,6,91
211,7,66
211,8,88
211,9,61
221,1,36
221,2,26
221,3,32
221,4,100
221,5,96
221,6,91
221,7,64
221,8,87
221,9,62
231,1,35
231,2,25
231,3,29
231,4,103
231,5,98
231,6,93
231,7,64
231,8,87
231,9,60
241,1,36
241,2,24
241,3,25
241,4,105
241,5,97
241,6,88
241,7,65
241,8,87
241,9,56
251,1,35
251,2,25
251,3,23
251,4,101
251,5,93
251,6,87
251,7,63
251,8,88
251,9,52
261,1,34
261,2,23
261,3,23
261,4,99
261,5,84
261,6,84
261,7,58
261,8,90
261,9,50
271,1,31
271,2,23
271,3,24
271,4,94
271,5,83
271,6,89
271,7,53
271,8,87
271,9,46
281,1,28
281,2,19
281,3,23
281,4,85
281,5,80
281,6,82
281,7,51
281,8,84
281,9,43
291,1,27
291,2,17
291,3,22
291,4,81
291,5,74
291,6,82
291,7,50
291,8,72
291,9,38
