fog_id,time,required_rate,required_sinr
1,1,98,17
1,1,41,15
1,1,29,13
1,1,85,17
1,1,57,18
1,11,80,16
1,11,37,12
1,11,50,14
1,11,98,16
1,11,19,10
1,11,80,19
1,11,67,13
1,11,17,14
1,11,43,12
1,11,98,16
1,11,10,19
1,11,66,12
1,11,44,16
1,11,59,16
1,11,72,15
1,11,54,17
1,11,90,19
1,11,55,12
1,11,31,20
1,11,18,14
1,11,77,19
1,11,61,10
1,11,66,20
1,11,40,15
1,11,44,14
1,11,13,18
1,11,54,17
1,21,74,16
1,21,12,20
1,21,52,16
1,21,28,19
1,21,55,19
1,21,23,10
1,21,49,15
1,21,80,16
1,21,45,15
1,21,37,19
1,21,34,10
1,21,75,14
1,21,76,12
1,21,84,17
1,21,83,15
1,21,35,20
1,21,62,14
1,21,66,10
1,21,53,15
1,21,84,20
1,21,56,12
1,21,90,20
1,21,22,15
1,21,26,12
1,21,26,18
1,21,86,19
1,21,11,10
1,21,21,14
1,31,85,18
1,31,33,20
1,31,32,12
1,31,36,10
1,31,22,13
1,31,88,12
1,31,23,19
1,31,19,12
1,31,37,17
1,31,44,11
1,31,34,18
1,31,25,12
1,31,54,19
1,31,77,16
1,31,59,20
1,31,24,19
1,31,94,14
1,31,54,14
1,31,65,15
1,31,93,10
1,31,98,19
1,31,70,13
1,31,73,13
1,31,94,20
1,31,83,10
1,31,33,13
1,31,99,19
1,31,52,10
1,31,32,10
1,31,26,16
1,41,69,15
1,41,33,20
1,41,13,11
1,41,33,13
1,41,35,18
1,41,38,16
1,41,80,14
1,41,94,10
1,41,92,18
1,41,97,17
1,41,14,14
1,41,32,19
1,41,75,14
1,41,16,14
1,41,89,20
1,41,35,15
1,41,99,17
1,41,63,14
1,41,24,11
1,41,83,14
1,41,89,12
1,41,80,13
1,41,100,10
1,41,78,13
1,41,94,16
1,41,44,17
1,41,63,19
1,41,14,20
1,41,24,12
1,41,76,11
1,51,99,10
1,51,89,20
1,51,15,18
1,51,67,18
1,51,56,19
1,51,22,14
1,51,17,13
1,51,28,10
1,51,27,13
1,51,17,19
1,51,43,12
1,51,88,12
1,51,89,15
1,51,32,11
1,51,45,15
1,51,96,11
1,51,46,12
1,51,87,19
1,51,99,12
1,51,35,17
1,51,12,12
1,51,57,20
1,51,31,17
1,51,75,11
1,51,56,20
1,51,22,20
1,51,10,17
1,51,36,16
1,51,53,18
1,51,35,19
1,51,95,11
1,61,51,13
1,61,56,19
1,61,44,14
1,61,33,17
1,61,26,18
1,61,81,18
1,61,72,13
1,61,92,17
1,61,21,14
1,61,19,14
1,61,47,18
1,61,19,11
1,61,24,15
1,61,26,16
1,61,10,16
1,61,42,16
1,61,33,19
1,61,93,12
1,61,80,18
1,61,85,10
1,61,58,19
1,61,24,16
1,61,44,10
1,61,43,17
1,61,16,14
1,61,17,11
1,61,17,11
1,61,24,13
1,61,82,17
1,61,52,13
1,61,53,17
1,61,98,11
1,61,89,14
1,71,45,11
1,71,97,20
1,71,35,14
1,71,79,15
1,71,74,13
1,71,64,17
1,71,16,14
